,abstract_no,sentence
17,4,The spectrum of the disease extends from an organ-specific autoimmune disorder to a systemic process and is also associated with an increased risk of B-cell lymphoma.
18,4,Current treatments are mainly symptomatic.
19,4,"As a result of the diverse presentation of the syndrome, a major challenge remains to improve diagnosis and therapy."
20,4,For this purpose an international set of classification criteria for primary Sjgren's syndrome has recently been developed and validated and seems well suited for enrolment in clinical trials.
21,4,"Salivary gland biopsies have been examined and histopathology standards have been developed, to be used in clinical trials and patient stratification."
22,4,"Finally, ultrasonography and saliva meet the need of non-invasive imaging and sampling methods for discovery and validation of disease biomarkers in Sjgren's syndrome."
23,5,A 41-year-old woman presented with paresthesia and inability to walk for 7 days.
24,5,"She had history of fatigue, polyarthralgia and difficulty in swallowing food for the last 1year."
25,5,She became edentulous over the last 5 years and wore dentures for the same.
26,5,"She appeared pale, emaciated and had oral thrush."
27,5,She had areflexic quadriparesis with weakness more in lower limbs compared with upper limbs.
28,5,"With the initial diagnosis of Guillian-Barre syndrome, she was given five cycles of plasmapheresis following which there was a significant improvement in power."
29,5,Sjogren's syndrome was suspected based on edentulous state in a middle-aged woman with multisystem involvement.
30,5,"Evaluation with Schirmer's test, parotid scintigraphy and labial minor salivary gland biopsy confirmed the diagnosis."
31,5,She was treated with steroids following which a dramatic improvement in haemoglobin and total leucocyte count was noted.
32,5,We report a varied presentation of primary Sjogren's syndrome.
33,6,BACKGROUND: To systematically review and assess the efficacy and safety of hydroxychloroquine (HCQ) for treating primary Sjogren's syndrome (pSS).
34,6,"METHODS: Five electronic databases (Pubmed, EMBASE, Web of science, Ovid, Cochrane Library) were searched for randomized controlled trials and retrospective or prospective studies published in English that reported the effect of HCQ on pSS."
35,6,"The subjective symptoms (sicca symptoms, fatigue and pain) and the objective indexes (erythrocyte sedimentation rate and Schirmer test) were assessed as main outcome measures."
36,6,A meta-analysis and descriptive study on the efficacy and safety of HCQ were conducted.
37,6,"The estimate of the effect of HCQ treatment was expressed as a proportion together with 95% confidence interval, and plotted on a forest plot."
38,6,"RESULTS: Four trials with totals of 215 SS patients, including two randomized controlled trials, one double blind crossover trial and one retrospective open-label study, were analyzed in this review."
39,6,"For dry mouth and dry eyes, the effectiveness of HCQ treatment was essentially the same as placebo treatment."
40,6,"For fatigue, the effectiveness of HCQ was lower than placebo."
41,6,The efficacy of HCQ in treating pain associated with pSS was superior to that of the placebo.
42,6,"There was no significant difference between HCQ-treated groups and controls in terms of Schirmer test results, but HCQ could reduce the erythrocyte sedimentation rate compare with placebo."
43,6,A descriptive safety assessment showed that gastrointestinal adverse effects were the most common adverse effects associated with HCQ.
44,6,CONCLUSIONS: This systematic review showed that there is no significant difference between HCQ and placebo in the treatment of dry mouth and dry eye in pSS.
45,6,"Well-designed, randomized, controlled trials are needed to provide higher-quality evidence to confirm our findings, and future studies should focus on some other index or extraglandular measures, such as cutaneous manifestations, to further explore the therapeutic effect of HCQ in pSS."
46,7,Primary Sjgren's syndrome (pSS) is a condition that predominantly affects women.
47,7,Reports of pregnancy outcome in these patients are limited and contradictory.
48,7,OBJECTIVE: To describe pregnancy characteristics and outcomes and newborn morbidity in women with pSS.
49,7,MATERIAL AND METHODS: We included women with pSS who became pregnant after the onset of the symptoms of the disease.
50,7,"Clinical and serological characteristics, risk factors and previous maternal comorbidities are described."
51,7,"For each pregnancy in a woman with pSS, we recorded pregnancy course and outcome and newborn condition."
52,7,RESULTS: We assessed 11 patients with 18 pregnancies after the onset of pSS symptoms.
53,7,All of them presented FAN +; 10 anti-Ro / SSA + and 7 anti-La / SSB +.
54,7,The mean age in years at the onset of symptoms was 24.9 (SD 6.9) and at the time of pregnancy was 30.3 (SD 5.4).
55,7,"Thirteen pregnancies happened before the diagnosis, reporting only one miscarriage."
56,7,"Two preterm births, 1 case of oligohydramnios, 2 of premature membrane rupture and 2 low birthweight babies were reported after the onset of pSS symptoms."
57,7,There was 1 newborn with congenital atrioventricular block and another with neonatal cutaneous lupus.
58,7,All the women with pregnancy complications (n=6) had anti-Ro/SSA antibodies.
59,7,CONCLUSIONS: Almost half of the pregnancies assessed in women with pSS were associated with complications not attributable to factors other than the disease.
60,8,"Primary Sjgren's syndrome (pSS) is a complex systemic autoimmune disease primarily characterised by a focal chronic inflammation of glandular parenchyma, with chronic and persistent involvement of major salivary gland remaining a key element of the disease."
61,8,"Indeed, classification criteria proposed for pSS have always included items for histological and/or imaging salivary gland assessment."
62,8,"Over time, the approach to the definition of glandular involvement in pSS is constantly evolving."
63,8,"In this review we will therefore illustrate the state of the art of imaging techniques in pSS, focusing on conventional and novel modalities and discussing their advantages, drawbacks and possible future developments."
64,9,"PURPOSE: Sjgren's syndrome is a systemic autoimmune disease affecting approximately 3 million Americans, primarily perimenopausal women."
65,9,"The syndrome is characterized by dysfunction and destruction of exocrine glands leading to oral and ocular manifestations, xerostomia and keratitis sicca."
66,9,Sjgren's syndrome commonly remains either undiagnosed or is diagnosed years after the onset of symptoms.
67,9,"Diagnosis is based on the concurrent presence of various signs and symptoms of the disease as established by 6 diagnostic standards set by the American European Consensus Group standards: oral symptoms, ocular symptoms, evidence of oral signs, evidence of ocular dryness, evidence of salivary gland involvement with positive Anti-Ro/La autoantibodies and a positive gland biopsy."
68,9,Currently no definitive test or cure exists; treatment is predominately palliative and supportive.
69,9,"CONCLUSION: With an aging population and heavier reliance on medications and treatments which cause xerostomia, oral health professionals are likely to encounter a higher incidence of xerostomia and Sjgren's syndrome more than ever before."
70,9,"The dental professional must recognize the signs and symptoms of xerostomia, include Sjgren's syndrome in their differential diagnosis, and communicate those findings and concerns to other health care providers, including the primary care physician, rheumatologist and ophthalmologist for evaluation in a timely fashion."
71,9,"This article discusses the dental professional's role in formulating a preventive oral health plan: meticulous oral hygiene instructions, dietary counseling, a complement of chemotherapeutic agents and more frequent recall care to avoid oral complications and improve quality of life."
72,9,"Dental hygienists can help patients understand the wide range of products available to substitute or stimulate salivary flow, prevent or remineralize early carious lesions and relieve candidal and bacterial infections."
73,9,Ultimately this collaboration of care by the dental and medical professionals will benefit the Sjgren's syndrome patient and lead to better patient outcomes.
74,10,"This review discusses important aspects of the diagnosis and management of Sjgren's syndrome, covering clinical features, diagnosis and management, and summarizes recent developments in diagnosis, prognostication and treatment."
75,11,"Sjogren's syndrome (SS) is an autoimmune disease, among the most common ones, that targets mainly the exocrine glands as well as extra-glandular epithelial tissues."
76,11,"Their lymphocytic infiltration leads to manifestations from other organs (e.g., kidneys, lungs, liver, or thyroid), apart from sicca symptoms (xerostomia and keratoconjunctivitis)."
77,11,SS is more prevalent in women than in men (9:1).
78,11,"Moreover, p.SS patients are in increased risk to develop lymphoma."
79,11,"Certain autoantibodies (e.g., antibodies against ribonucleoprotein autoantigens Ro-SSA and La-SSB) are ultimate hallmarks for the disease."
80,11,It was not known until recently that culture-independent techniques like next-generation sequencing (NGS) facilitate the study of the microbe communities in humans and scientists achieved to define the outlines of the microbiome contribution in health and disease.
81,11,"Researchers have started to investigate the alterations in diversity of the oral, ocular, or intestinal microbiota in SS."
82,11,Recent studies indicate that dysbiosis may play a significant role in SS pathogenesis.
83,11,"At the same time, the cause or effect is not clear yet because the dysfunction of salivary glands induces alterations in oral and intestinal microbiome which is linked to worsen of symptoms and disease severity."
84,11,"If the human microbiome proves to play a key role in pathogenesis and manifestation of SS, the next step could be new and promising therapeutic approaches such as probiotics or prebiotics."
85,11,"This mini review focuses on the alterations of microbiome of SS patients, their connection with immune tolerance and new therapeutic strategies involving diet manipulation toward future personalized medicine."
86,12,OBJECTIVE: To evaluate current evidence on the efficacy and safety of topical and systemic medications in patients with primary Sjgren syndrome (SjS) to inform European League Against Rheumatism treatment recommendations.
87,12,"METHODS: The MEDLINE, EMBASE and Cochrane databases were searched for case-control/prospective cohort studies, randomised controlled trials (RCTs) and systematic reviews."
88,12,"RESULTS: Current evidence in primary SjS patients fulfilling the 2002 criteria is based on the data from 9 RCTs, 18 prospective cohort studies and 5 case-control studies."
89,12,Two Cochrane systematic literature reviews (SLRs) have reported that topical treatments for dry mouth and dry eye are safe and effective.
90,12,Ocular cyclosporine A was safe and effective in two RCTs including 1039 patients with dry eye syndrome.
91,12,"Two Cochrane SLRs on serum tear drops and plugs showed inconsistency in possible benefits, both for symptoms and objective measures."
92,12,Five RCTs reported significant improvements in oral dryness and salivary flow rates for pilocarpine and cevimeline.
93,12,"An RCT showed no significant placebo-differences for hydroxychloroquine 400mg/day for the primary outcome (visual analogue scale (VAS) composite of dryness, fatigue and pain)."
94,12,We identified seven RCTs carried out in primary SjS patients.
95,12,"RCTs using infliximab, anakinra and baminercept found no placebo-differences for the primary outcomes."
96,12,"The two largest RCTs randomised 255 patients to receive rituximab or placebo and reported no significant results in the primary outcome (VAS composite), while prospective studies suggested efficacy in systemic disease."
97,12,"CONCLUSION: The current evidence supporting the use of the main topical therapeutic options of primary SjS is solid, while limited data from RCTs are available to guide systemic therapies."
98,13,OBJECTIVES: We hypothesized that the extravasation of saliva from damaged ducts with lymphocytic infiltration in patients with Sjgren's syndrome causes ranulas.
99,13,There are too many uncertainties to support this hypothesis.
100,13,The aim of this study was to investigate whether there is an association between Sjgren's syndrome and ranulas.
101,13,MATERIALS AND METHODS: We observed three cases of patients with ranulas who were also diagnosed with Sjgren's syndrome at the same facility.
102,13,"These cases led to the question of whether there are other such cases, and thus, an exhaustive literature search was conducted."
103,13,RESULTS: Three cases in two case reports of mucocele of the floor of the mouth associated with adult Sjgren's syndrome were noted.
104,13,"Including our cases, until now, there have been six cases of ranula with adult Sjgren's syndrome."
105,13,"CONCLUSIONS: It could be useful to investigate whether patients presenting with a ranula are also affected by Sjgren's syndrome and, conversely, investigate patients with Sjgren's syndrome longitudinally to see whether they develop ranulas."
106,14,Sjgren syndrome (SS) is an autoimmune connective tissue disorder (CTD) that principally affects the lacrimal and salivary glands.
107,14,"Although SS is 1 of the 3 most common autoimmune CTDs alongside systemic lupus erythematosus and progressive systemic sclerosis, it is the least researched CTD overall."
108,14,SS poses a particular diagnostic challenge because it shares multiple clinical and immunologic features with other CTDs.
109,14,"However, there are some characteristic cutaneous clinical features that can precede the well-known sicca symptoms by years."
110,14,"By familiarizing themselves with these clinical features and having a high suspicion for SS, dermatologists can play an important role in the early diagnosis and treatment of this disease."
111,15,"BACKGROUND Sjgren's syndrome is a chronic inflammatory autoimmune disease, which is also known as sicca syndrome, due to the symptoms of dry eyes and dry mouth, and is associated with other connective tissue diseases and autoimmune diseases."
112,15,Sjgren's syndrome can also be associated with renal involvement.
113,15,Fanconi's syndrome is associated with impaired reabsorption in the proximal renal tubule associated with tubulointerstitial nephritis and is associated with renal tubular acidosis and hypophosphatemia.
114,15,"Osteomalacia is a rare association with Sjgren's syndrome, which may result from renal disease."
115,15,"CASE REPORT We report the case of a 34-year-old woman who presented with xerostomia, xerophthalmia, bone fractures, and osteomuscular pain."
116,15,"A Schirmer test showed reduced tear production, and a biopsy of a minor salivary gland of the lip, with high titers of antinuclear antibodies (ANA), and positive anti-SSA/Ro and anti-SSB/La antibodies confirmed the diagnosis of Sjgren's syndrome."
117,15,Serum and urinary laboratories tests and clinical manifestations confirmed Fanconi's syndrome associated with osteomalacia.
118,15,"The patient was treated with potassium supplements, 25-hydroxyvitamin D (25(OH)D), hydroxychloroquine, mycophenolate mofetil, and prednisone, with a favorable response."
119,15,"CONCLUSIONS This case is of a rare association between Sjgren's syndrome, Fanconi's syndrome, and osteomalacia."
120,15,"Even though these are rare clinical associations, early detection can improve the quality of life and prevent further complications."
121,16,The diffuse cystic lung diseases have a broad differential diagnosis.
122,16,A wide variety of pathophysiological processes spanning the spectrum from airway obstruction to lung remodeling can lead to multifocal cyst development in the lung.
123,16,"Although lymphangioleiomyomatosis and pulmonary Langerhans cell histiocytosis are perhaps more frequently seen in the clinic, disorders such as Birt-Hogg-Dub syndrome, lymphocytic interstitial pneumonia, follicular bronchiolitis, and light-chain deposition disease are increasingly being recognized."
124,16,"Obtaining an accurate diagnosis can be challenging, and management approaches are highly disease dependent."
125,16,"Unique imaging features, genetic tests, serum studies, and clinical features provide invaluable clues that help clinicians distinguish among the various etiologies, but biopsy is often required for definitive diagnosis."
126,16,"In part II of this review, we present an overview of the diffuse cystic lung diseases caused by lymphoproliferative disorders, genetic mutations, or aberrant lung development and provide an approach to aid in their diagnosis and management."
127,17,The neurologic manifestations of primary Sjgren syndrome are varied and can be divided anatomically into 2 categories: peripheral neuropathies and central nervous system (CNS) conditions.
128,17,Distal sensory and sensorimotor neuropathies are the most common manifestations of peripheral nerve disease in primary Sjgren syndrome.
129,17,"CNS manifestations associated with primary Sjgren syndrome include focal central lesions, conditions that mimic multiple sclerosis, encephalitis, aseptic meningitis, cerebellar syndromes, movement disorders, and problems with memory, cognition, and depression."
130,17,"The heterogeneity of neurologic manifestations in primary Sjgren syndrome complicates the approach to treatment, which should be directed toward the underlying neuropathologic mechanism."
131,18,"Small fiber neuropathy, which affects the sensory A and Cfibers, is now a major diagnostic and therapeutic challenge."
132,18,Nearly 7% of the general population have chronic neuropathic pain responsible for severe quality-of-life impairments.
133,18,"Awareness must therefore be raised among clinicians of the somatosensory and autonomic symptoms that can reveal small fiber neuropathy, appropriate diagnostic investigations, most common causes, and best treatment options for each patient profile."
134,18,"To help achieve this goal, the present review article discusses the clinical presentation of neuropathic pain and paresthesia and/or autonomic dysfunction due to involvement of nerves supplying exocrine glands and smooth muscle; normal findings from standard electrophysiological investigations; most informative diagnostic tests (epidermal nerve fiber density in a skin biopsy, laser-evoked potentials, heat- and cold-detection thresholds, electrochemical skin conductance); main causes, which consist chiefly of metabolic diseases (diabetes mellitus, glucose intolerance), dysimmunity syndromes (Sjgren's syndrome, sarcoidosis, monoclonal gammopathy), and genetic abnormalities (familial amyloidosis due to a transthyretin mutation, Fabry disease, sodium channel diseases); and the available symptomatic and etiological treatments."
135,19,PURPOSE OF REVIEW: Systemic lupus erythematosus (SLE) and Sjgren syndrome are chronic autoimmune inflammatory disorders that can present with multiorgan involvement including the lungs.
136,19,"This review will focus on recent literature pertaining to the epidemiology, pathogenesis, clinical presentation and diagnosis and management of SLE and Sjgren syndrome-associated pulmonary conditions."
137,19,RECENT FINDINGS: Pulmonary manifestations of both disease entities have been well characterized and lung involvement can be observed during the course of the disease in most cases.
138,19,"Pulmonary manifestations of SLE and Sjgren syndrome can be classified based on anatomical site of involvement; and the large and small airways, lung parenchyma, lung vasculature, pleura and respiratory muscles can be involved."
139,19,"The pleura is most commonly involved in SLE, whereas the airways are most commonly involved in primary Sjgren's syndrome (pSS)."
140,19,Sleep disturbances have also been described in both entities.
141,19,"SUMMARY: Although further research into treatment strategies for the pulmonary complications seen in SLE and pSS is needed, the clinician should be aware of the risk factors and clinical presentation of the various pulmonary complications in SLE and pSS in order to identify patients who should be screened and/or have modifications in treatment strategies to mitigate the morbidity and mortality associated with these complications."
142,20,Primary Sjgren's syndrome (pSS) is a complex and heterogeneous disorder characterised by a wide spectrum of glandular and extra-glandular features.
143,20,"Novel insights into disease pathogenesis and the discovery of novel biomarkers are allowing us to characterise the disease not only phenotypically on the basis of clinical presentation, but also on the basis of the endotype."
144,20,"Ultimately, a better stratification of patients may pave new avenues for novel targeted therapies, opening new possibilities for the application of personalised medicine in pSS."
145,21,"OBJECTIVES: The present cross-sectional study aimed to estimate the prevalence of chronic respiratory symptoms in primary Sjgren's syndrome (pSS) and define the clinical, functional and imaging characteristics of symptomatic pulmonary disease in pSS."
146,21,METHODS: Four hundred and fourteen consecutive pSS patients were interviewed for the presence of chronic respiratory complaints (cough and/or dyspnea).
147,21,Symptomatic pSS patients without respiratory or other comorbidities underwent further investigation with clinical evaluation and assessment with pulmonary functional testing (PFTs) and chest high resolution CT (hrCT) on inspiratory and expiratory phase.
148,21,Comparison of clinical and laboratory features between symptomatic and asymptomatic pSS patients was also performed.
149,21,RESULTS: Prevalence of chronic respiratory symptoms in pSS was estimated at 21.5% (89/414).
150,21,Symptoms were attributed to underlying comorbidities in approximately one third of cases (30/89).
151,21,Thirty nine of the remaining 59 patients were finally assessed with PFTs and hrCT.
152,21,Small airway disease was diagnosed in 20 individuals with an obstructive pattern in PFTs and/or compatible radiological signs.
153,21,"Seven patients were diagnosed with interstitial lung disease, while in the remaining 12 pSS patients, with normal PFTs and hrCT, symptoms were attributed to xerotrachea."
154,21,Raynaud's phenomenon occurred more frequently in symptomatic than asymptomatic patients (p=0.024).
155,21,CONCLUSIONS: Approximately one fifth of a large cohort of pSS patients presented chronic respiratory symptoms.
156,21,"Small airway disease was the most commonly recognized pulmonary disorder among symptomatic pSS patients, followed by xerotrachea and interstitial lung disease."
157,22,The prevalence of primary Sjgren's syndrome (pSS) is between 1:100 and 1:1000 and it is therefore the most common connective tissue disease.
158,22,"Nevertheless, it can be difficult to diagnose pSS as the symptoms are frequently unspecific and diagnostic markers are lacking in many patients."
159,22,"In addition, only few controlled therapeutic studies of pSS have been carried out so that the optimal management is not yet clear."
160,22,"Meanwhile, outcome parameters to monitor clinical improvement have been developed and alarge number of therapeutic studies are currently being performed."
161,22,This review article summarizes the current diagnostic and treatment options for pSS.
162,23,This study investigated the clinical characteristics and risk factors for overlapping rheumatoid arthritis and Sjgren's syndrome (RA/SS).
163,23,Patients with RA/SS in Peking Union Medical College Hospital from January 2012 to January 2017 were retrospectively analysed and compared to those of sex- and age-matched RA or SS controls.
164,23,Logistic regression analysis was used to identify risk factors.
165,23,"Altogether, 105 consecutive patients with RA/SS were enrolled."
166,23,"Ninety-seven (92.4%) of them were female, with a mean age of 51.513.3 years or 45.214.7years at the diagnosis of SS or RA, respectively."
167,23,"In addition to arthritis and Sicca symptom, patients with RA/SS had more visceral involvements including interstitial lung disease (ILD), and haematologic involvement, and received more glucocorticoid treatments than controls (p<0.05)."
168,23,"RA-onset, simultaneous-onset and SS-onset patients had significant differences in age at RA diagnosis, fever and thrombocytopenia (p<0.05)."
169,23,"Multivariate logistic analysis indicated that arthritis (OR=44.804), rheumatoid factor (RF) (OR=5.973), and anti-CCP (OR=2.545) were independent risk factors for SS overlapping with RA."
170,23,"Xerostomia (OR=3.960), ILD (OR=6.210), and anti-SSA (OR=24.640) were independent predictors of RA overlapping with SS."
171,23,RA/SS patients have more visceral involvements.
172,23,Our findings highlight the roles of arthritis/RF/anti-CCP and xerostomia/ILD/anti-SSA in the development of this overlapping disease.
173,24,"Sjgren's syndrome (SjS) is a systemic autoimmune disease that mainly affects the exocrine glands, leading to generalized mucosal dryness."
174,24,"However, primary SjS may initially present with non-sicca (systemic) manifestations."
175,24,"When these features appear before the onset of an overt sicca syndrome, we may talk of an underlying 'occult' SjS."
176,24,The European League Against Rheumatism (EULAR) has promoted and supported an international collaborative study group (EULAR-SS Task Force) aimed at developing consensual recommendations to provide a homogeneous approach to the patient with primary SjS presenting with systemic involvement.
177,24,"This review summarizes the key factors that should be taken into account in the diagnostic approach in a patient with suspected SjS according to the main clinical patterns of presentation, and is especially focused on organ-specific systemic disease presentations, including a consensus set of recommendations in order to reach an early diagnosis."
178,24,Close collaboration with the different specialties involved through a comprehensive multidisciplinary approach is essential in SjS patients presenting with systemic involvements.
179,25,OBJECTIVE: Review the clinical manifestations and treatment of primary Sjgren's syndrome.
180,25,"DATA SOURCES: Articles indexed in PubMed, Scopus, and the Cochrane Library in the past 10 years using the key words ""Sjgren,"" ""Sjgren's syndrome,"" ""Sjgren's disease,"" and ""Sjgren's syndrome AND treatment."""
181,25,Primary sources were used to locate additional resources.
182,25,STUDY SELECTION AND DATA EXTRACTION: Forty-six publications were reviewed and criteria supporting the primary objective were used to identify useful resources.
183,25,"DATA SYNTHESIS: The literature included practice guidelines, review articles, original research articles, and prescribing information for the manifestations, diagnosis, and treatment of primary Sjgren's syndrome."
184,25,"CONCLUSION: Primary Sjgren's syndrome is a chronic autoimmune disease with various clinical manifestations, notably dry eye, dry mouth, fatigue, and inflammatory musculoskeletal pain."
185,25,"Most patients are under the care of a dentist, ophthalmologist, and rheumatologist."
186,25,"There is currently no cure; therapy is tailored for each patient to reduce symptoms, avoid complications, and improve quality of life."
187,25,Respondents to a recent survey conducted by the Sjgren's Syndrome Foundation reported using more than eight medications and treatments for their symptoms; more than 60% of respondents were older than 60 years of age.
188,25,Pharmacists familiar with recommended treatment options can provide advice and counseling to Sjgren's syndrome patients on multi-drug regimens prescribed by different health care practitioners.
189,26,BACKGROUND: Determinants of diagnosis in primary Sjgren's syndrome (pSS) in tertiary care settings is not well understood.
190,26,METHODS: Patients were screened by tracing reports of anti-SSA (anti-Ro) antibody assays between January 2008 and October 2015.
191,26,Electronic health records (EHR) were reviewed.
192,26,Patients fulfilling the 2016 American College of Rheumatology/European League Against Rheumatism (EULAR) classification criteria were included.
193,26,"Variables including the specialties of first consultation, initial clinical presentations, investigations ordered at first consultation, number of hospital visits prior to reaching the final diagnosis of pSS and the baseline EULAR SS Disease Activity Index (ESSDAI) were noted."
194,26,RESULTS: A total of 275 patients with pSS consulted 24 different specialties at first visit.
195,26,Rheumatology accounted for 128 (46.55%) patients.
196,26,"At first consultation, initial suspicion for pSS was 48.4% for all specialties together and 64.84% for the rheumatologist."
197,26,"Median number of visits prior to arriving at the final diagnosis was 1 (1-6), when the initial impression was pSS and 3 (1-14), if the initial clinical impression was a non-SS differential (P<0.001)."
198,26,"A first impression of pSS, enquiry about sicca symptoms and ordering anti-SSA (anti-Ro) antibody test at first consultation were strong predictors of early diagnosis with odds (95% CI) of 5.01 (1.72-14.55) P<0.001, 4.79 (1.16-19.84) P=0.03 and 9.60 (3.0-30.67) P<0.0001, respectively."
199,26,None of the clinical variables proved to be useful predictors of early diagnosis.
200,26,CONCLUSIONS: Diagnosis of pSS is challenging even in tertiary care centers as patients present with myriad features to several specialties.
201,26,Initial suspicion was limited to 48.4% for all specialties together and 64.84% for the rheumatologist.
202,26,High suspicion of pSS along with ordering anti-SSA (anti-Ro) antibody could hasten diagnosis.
203,27,"In 9-20% of cases, Sjgren's syndrome is associated with various respiratory symptoms."
204,27,The most typical manifestations are chronic interstitial lung disease (ILD) and tracheobronchial disease.
205,27,The most common manifestation of ILD is nonspecific interstitial pneumonia in its fibrosing variant.
206,27,"Other types of ILD, such as organising pneumonia, usual interstitial pneumonia and lymphocytic interstitial pneumonitis, are rare."
207,27,"Their radiological presentation is less distinctive, and definitive diagnosis may require the use of transbronchial or surgical lung biopsy."
208,27,"Corticosteroid therapy is the mainstay of ILD treatment in Sjgren's syndrome, but the use of other immunosuppressive drugs needs to be determined."
209,27,ILD is a significant cause of death in Sjgren's syndrome.
210,27,"Tracheobronchial disease is common in Sjgren's syndrome, characterised by diffuse lymphocytic infiltration of the airway."
211,27,It is sometimes responsible for a crippling chronic cough.
212,27,"It can also present in the form of bronchial hyperresponsiveness, bronchiectasis, bronchiolitis or recurrent respiratory infections."
213,27,The management of these manifestations may require treatment for dryness and/or inflammation of the airways.
214,27,Airway disease has little effect on respiratory function and is rarely the cause of death in Sjgren's syndrome patients.
215,27,"Rare respiratory complications such as amyloidosis, lymphoma or pulmonary hypertension should not be disregarded in Sjgren's syndrome patients."
216,28,"Sjgren's syndrome is a complex and potentially disabling slow progressive, systemic disorder."
217,28,"During the last twelve months several original and important contributions have been published on the pathogenesis, diagnosis and therapy of the disease."
218,28,"This review, following the others of this series is aimed at summarising some of the most significant studies that have been recently published."
219,28,"Regarding the pathogenesis, we will specifically focus on novel insights on miRNA, gut microbiota, adaptive and innate autoimmunity and animal models."
220,28,"Concerning novelties in pSS diagnosis, we will focus on salivary gland ultrasonography and histology."
221,28,"Finally, we will conclude with an update of the clinical manifestations of the disease and with an overview of the future therapies."
222,29,"BACKGROUND: Besides CSF-flow obstruction, syringomyelia is associated with inflammatory spinal cord lesions."
223,29,"However, syringomyelia-like syndrome concomitant with neuromyelitis optica spectrum disorder (NMOSD) and primary Sjogren's syndrome (pSS) is extremely rare."
224,29,"Here, we would like to report a case of a patient with syringomyelia-like syndrome in NMOSD complicated with Sjogren's Syndrome."
225,29,"CASE PRESENTATION: A 64-old male Han Chinese, presented with three episodes of acute demyelinating processes in the central nervous system within 5years."
226,29,"Firstly, he presented with ascending left lower extremity weakness and numbness, and initially progressive loss of vision in the right eye before 5years, and subsequently in the right eye 2months later."
227,29,High dose corticosteroid therapy was prescribed for this attack.
228,29,"Second, he suffered from refractory gastrointestinal symptoms."
229,29,"such as nausea, vomiting, abdominal pain and early satiety."
230,29,"After the second episode, he received long-term azathioprine and prednisone treatment in low dosages."
231,29,"Six months before admission, he developed the lower back pain and numbness in lower limbs, and urinary incontinence."
232,29,"This time, he complained of acute onset of right lower limb paralysis, paresthesia and urinary incontinence."
233,29,MRI of the spine revealed a syringomyelia extending from the C7 to T4 levels with serum positive anti-aquaporin-4 antibodies (AQP4-Ab) (indirect immunofluorescence on AQP4 transfected cells).
234,29,he was serologically positive for both anti-Sjgren's syndrome-related antigen A and B antibodies and there was reduced salivary flow on scintigraphy.
235,29,Lip salivary gland (LSG) biopsies were graded (grade four lymphocytic infiltration) according to the Chisholm and Mason classification system and by morphometric analysis.
236,29,"And finally, diagnosed as syringomyelia-like syndrome in NMOSD complicated with Sjogren's syndrome."
237,29,"CONCLUSIONS: Although extremely rare, This index patient highlights that syringomyelia could be associated with underlying NMOSD and pSS, and autoimmune disorders should be considered in the initial differential diagnosis, This is very helpful for the therapeutic implications and evaluating curative effect."
238,30,Primary Sjgren's syndrome (pSS) is a chronic multisystem autoimmune rheumatic disease characterised by female predominance.
239,30,"Although the disease is rare in the male and paediatric populations, it has been suggested that it may have a different disease phenotype, which has not been investigated before using a systematic approach."
240,30,"A systematic literature search of PubMed databases (updated to December 2016) was performed to identify all published data on the epidemiological, clinical and laboratory manifestations of pSS in the male and paediatric populations."
