,File Name with extension,File Name,Term,Span,Class
165,sentence_134,sentence_134.txt,sarcoidosis,"( 617,628)",Associated Conditions
1083,sentence_2097,sentence_2097.txt,acute hypokalemia,"( 40,57)",Associated Conditions
301,sentence_165,sentence_165.txt,RA,"( 42,44)",Associated Conditions
65,sentence_1082,sentence_1082.txt,salivary gland biopsy,"( 19,40)",Diagnostic Tests
837,sentence_770,sentence_770.txt,dry mouth,"( 179,188)",Signs and Symptoms
1769,sentence_2596,sentence_2596.txt,salivary gland biopsy,"( 36,57)",Diagnostic Tests
1339,sentence_2291,sentence_2291.txt,hypokalemic paralysis,"( 36,57)",Associated Conditions
1202,sentence_2163,sentence_2163.txt,dry mouth,"( 94,103)",Signs and Symptoms
1096,sentence_2101,sentence_2101.txt,EULAR Sjgren's Syndrome Patient Related Index: ESSPRI,"( 299,352)",Diagnostic Tests
321,sentence_168,sentence_168.txt,fever,"( 103,108)",Signs and Symptoms
436,sentence_1935,sentence_1935.txt,salivary gland ultrasonography.,"( 100,131)",Diagnostic Tests
1425,sentence_2342,sentence_2342.txt,woman,"( 22,27)",Risk Factors
1081,sentence_2097,sentence_2097.txt,hypokalemia,"( 46,57)",Associated Conditions
1463,sentence_2360,sentence_2360.txt,female,"( 34,40)",Risk Factors
940,sentence_2008,sentence_2008.txt,RS,"( 100,102)",Signs and Symptoms
1005,sentence_2043,sentence_2043.txt,heterogeneous autoimmune disorder,"( 45,78)",Risk Factors
1008,sentence_2049,sentence_2049.txt,putative protein biomarkers,"( 116,143)",Diagnostic Tests
962,sentence_2021,sentence_2021.txt,ROI DWI,"( 20,27)",Diagnostic Tests
888,sentence_90,sentence_90.txt,dry eye syndrome.,"( 86,103)",Signs and Symptoms
724,sentence_622,sentence_622.txt,sicca,"( 62,67)",Signs and Symptoms
1696,sentence_2516,sentence_2516.txt,Schirmer's test,"( 9,24)",Diagnostic Tests
204,sentence_1415,sentence_1415.txt,Fatigue,"( 154,161)",Signs and Symptoms
1634,sentence_2465,sentence_2465.txt,sicca symptoms,"( 5,19)",Signs and Symptoms
1682,sentence_2506,sentence_2506.txt,woman,"( 33,38)",Risk Factors
1382,sentence_2318,sentence_2318.txt,dermatomyositis,"( 29,44)",Associated Conditions
1722,sentence_2546,sentence_2546.txt,peripheral sialoectatic changes,"( 61,92)",Diagnostic Tests
581,sentence_365,sentence_365.txt,skin rashes,"( 148,159)",Signs and Symptoms
784,sentence_685,sentence_685.txt,keratoconjunctivitis sicca,"( 60,86)",Signs and Symptoms
70,sentence_1086,sentence_1086.txt,arthritis,"( 71,80)",Signs and Symptoms
783,sentence_684,sentence_684.txt,lip biopsy,"( 115,125)",Diagnostic Tests
1657,sentence_2482,sentence_2482.txt,salivary gland swelling,"( 143,166)",Signs and Symptoms
60,sentence_1076,sentence_1076.txt,salivary gland biopsy.,"( 51,73)",Diagnostic Tests
549,sentence_309,sentence_309.txt,sarcoidosis,"( 138,149)",Associated Conditions
392,sentence_1834,sentence_1834.txt,dryness,"( 128,135)",Signs and Symptoms
274,sentence_1599,sentence_1599.txt,xerophthalmia,"( 73,86)",Signs and Symptoms
1509,sentence_2394,sentence_2394.txt,transient arthralgia,"( 51,71)",Signs and Symptoms
188,sentence_1375,sentence_1375.txt,salivary gland ultrasonography (SGUS),"( 56,93)",Diagnostic Tests
395,sentence_1835,sentence_1835.txt,polyneuropathy,"( 58,72)",Signs and Symptoms
149,sentence_1285,sentence_1285.txt,non-Hodgkin's lymphoma,"( 40,62)",Associated Conditions
1477,sentence_2372,sentence_2372.txt,ocular staining,"( 18,33)",Diagnostic Tests
1694,sentence_2516,sentence_2516.txt,Schirmer's test,"( 9,24)",Diagnostic Tests
285,sentence_162,sentence_162.txt,rheumatoid arthritis,"( 86,106)",Associated Conditions
336,sentence_1703,sentence_1703.txt,lymphadenopathy.,"( 26,42)",Signs and Symptoms
534,sentence_286,sentence_286.txt,polyneuropathy,"( 161,175)",Associated Conditions
415,sentence_187,sentence_187.txt,60 years,"( 200,208)",Risk Factors
1246,sentence_2203,sentence_2203.txt,Systemic lupus erythematosus,"( 0,28)",Associated Conditions
1643,sentence_2466,sentence_2466.txt,myalgia,"( 38,45)",Signs and Symptoms
282,sentence_1616,sentence_1616.txt,scintigraphy,"( 94,106)",Diagnostic Tests
987,sentence_2031,sentence_2031.txt,pneumonia.,"( 296,306)",Associated Conditions
1016,sentence_2053,sentence_2053.txt,iron-deficiency,"( 90,105)",Signs and Symptoms
1742,sentence_2556,sentence_2556.txt,sialograms,"( 139,149)",Diagnostic Tests
107,sentence_1170,sentence_1170.txt,women,"( 42,47)",Signs and Symptoms
238,sentence_1462,sentence_1462.txt,vasculitis,"( 126,136)",Signs and Symptoms
66,sentence_1083,sentence_1083.txt,ILD,"( 40,43)",Associated Conditions
1288,sentence_2245,sentence_2245.txt,fever,"( 45,50)",Associated Conditions
763,sentence_67,sentence_67.txt,Anti-Ro/La,"( 325,335)",Diagnostic Tests
384,sentence_1822,sentence_1822.txt,female,"( 46,52)",Risk Factors
1216,sentence_2188,sentence_2188.txt,Positive anti-nuclear antibody,"( 0,30)",Diagnostic Tests
1440,sentence_2348,sentence_2348.txt,subsequent positive anti-SSA/SSB,"( 40,72)",Diagnostic Tests
1109,sentence_2111,sentence_2111.txt,lymphadenopathy,"( 72,87)",Associated Conditions
1045,sentence_2074,sentence_2074.txt,TAFRO syndrome,"( 54,68)",Associated Conditions
1267,sentence_2221,sentence_2221.txt,density of superficial epithelial cells was decreased,"( 33,86)",Diagnostic Tests
186,sentence_1370,sentence_1370.txt,dry eye,"( 122,129)",Signs and Symptoms
830,sentence_764,sentence_764.txt,psoriasis,"( 253,262)",Associated Conditions
948,sentence_2010,sentence_2010.txt,Parotid glands diffusion-weighted imaging (DWI),"( 12,59)",Diagnostic Tests
175,sentence_1357,sentence_1357.txt,Sicca,"( 9,14)",Signs and Symptoms
1394,sentence_2320,sentence_2320.txt,V-sign,"( 40,46)",Signs and Symptoms
270,sentence_1583,sentence_1583.txt,sialography,"( 128,139)",Diagnostic Tests
373,sentence_1770,sentence_1770.txt,Salivary-gland ultrasonography,"( 0,30)",Diagnostic Tests
952,sentence_2012,sentence_2012.txt,DWI.,"( 202,206)",Diagnostic Tests
1037,sentence_2068,sentence_2068.txt,lymphocytic infiltration,"( 69,93)",Signs and Symptoms
673,sentence_525,sentence_525.txt,malignancies,"( 21,33)",Associated Conditions
508,sentence_263,sentence_263.txt,sicca,"( 68,73)",Signs and Symptoms
1345,sentence_2297,sentence_2297.txt,Renal tubular dysfunction,"( 0,25)",Associated Conditions
719,sentence_613,sentence_613.txt,Lissamine test,"( 72,86)",Diagnostic Tests
1147,sentence_2125,sentence_2125.txt,musculoskeletal pain.,"( 312,333)",Signs and Symptoms
659,sentence_500,sentence_500.txt,cytopenia,"( 194,203)",Signs and Symptoms
489,sentence_24,sentence_24.txt,polyarthralgia,"( 28,42)",Signs and Symptoms
793,sentence_689,sentence_689.txt,labial salivary gland biopsy,"( 110,138)",Diagnostic Tests
691,sentence_556,sentence_556.txt,systemic scleroderma (Scl-SS).,"( 161,191)",Associated Conditions
148,sentence_1281,sentence_1281.txt,anti-La,"( 185,192)",Diagnostic Tests
647,sentence_484,sentence_484.txt,anti-La,"( 62,69)",Diagnostic Tests
84,sentence_1104,sentence_1104.txt,ultrasonography,"( 46,61)",Diagnostic Tests
788,sentence_688,sentence_688.txt,anti-SSB,"( 255,263)",Diagnostic Tests
481,sentence_215,sentence_215.txt,lymphoma,"( 52,60)",Associated Conditions
1842,sentence_2696,sentence_2696.txt,dental caries,"( 46,59)",Associated Conditions
1237,sentence_2197,sentence_2197.txt,anti-SSA/Ro,"( 81,92)",Diagnostic Tests
338,sentence_1710,sentence_1710.txt,sicca,"( 14,19)",Associated Conditions
993,sentence_2033,sentence_2033.txt,Immunohistochemical (IHC) analysis,"( 9,43)",Diagnostic Tests
1526,sentence_2405,sentence_2405.txt,Sicca symptoms,"( 0,14)",Signs and Symptoms
1270,sentence_2227,sentence_2227.txt,woman,"( 40,45)",Risk Factors
861,sentence_855,sentence_855.txt,xerostomia,"( 44,54)",Signs and Symptoms
575,sentence_357,sentence_357.txt,fatigue,"( 28,35)",Signs and Symptoms
4,sentence_1000,sentence_1000.txt,rheumatoid arthritis,"( 155,175)",Associated Conditions
495,sentence_246,sentence_246.txt,parotitis,"( 141,150)",Signs and Symptoms
318,sentence_1670,sentence_1670.txt,SLE,"( 81,84)",Signs and Symptoms
653,sentence_497,sentence_497.txt,pain,"( 12,16)",Signs and Symptoms
1650,sentence_2468,sentence_2468.txt,massive lymphocytic infiltration,"( 21,53)",Diagnostic Tests
956,sentence_2017,sentence_2017.txt,DWI SIRs,"( 48,56)",Diagnostic Tests
144,sentence_128,sentence_128.txt,Distal sensory,"( 0,14)",Associated Conditions
1501,sentence_2389,sentence_2389.txt,Schirmer test,"( 55,68)",Diagnostic Tests
1355,sentence_2301,sentence_2301.txt,NHLs.,"( 134,139)",Associated Conditions
1429,sentence_2343,sentence_2343.txt,severe hypokalaemia,"( 24,43)",Associated Conditions
104,sentence_1163,sentence_1163.txt,Sonography,"( 0,10)",Diagnostic Tests
1386,sentence_2319,sentence_2319.txt,tea-colored urine,"( 104,121)",Signs and Symptoms
1138,sentence_2119,sentence_2119.txt,lymphoma,"( 17,25)",Associated Conditions
440,sentence_1941,sentence_1941.txt,Salivary gland ultrasonography,"( 9,39)",Diagnostic Tests
1223,sentence_2196,sentence_2196.txt,parotitis,"( 61,70)",Signs and Symptoms
97,sentence_115,sentence_115.txt,bone fractures,"( 100,114)",Signs and Symptoms
255,sentence_152,sentence_152.txt,Small airway disease,"( 0,20)",Associated Conditions
903,sentence_93,sentence_93.txt,fatigue,"( 157,164)",Signs and Symptoms
1577,sentence_2434,sentence_2434.txt,MSGB,"( 32,36)",Diagnostic Tests
670,sentence_520,sentence_520.txt,atherosclerosis,"( 331,346)",Associated Conditions
1841,sentence_2696,sentence_2696.txt,gingivitis,"( 71,81)",Associated Conditions
1826,sentence_2679,sentence_2679.txt,salivary gland biopsy3,"( 161,183)",Diagnostic Tests
930,sentence_2004,sentence_2004.txt,Mean salivary flow rate,"( 0,23)",Diagnostic Tests
702,sentence_591,sentence_591.txt,rheumatoid arthritis,"( 87,107)",Associated Conditions
93,sentence_1142,sentence_1142.txt,Sicca,"( 131,136)",Signs and Symptoms
907,sentence_935,sentence_935.txt,female,"( 32,38)",Risk Factors
542,sentence_30,sentence_30.txt,Schirmer's test,"( 16,31)",Diagnostic Tests
382,sentence_1792,sentence_1792.txt,ocular tests,"( 128,140)",Diagnostic Tests
1692,sentence_2512,sentence_2512.txt,secondary amyloidosis,"( 90,111)",Associated Conditions
1369,sentence_2308,sentence_2308.txt,woman,"( 14,19)",Risk Factors
1212,sentence_2186,sentence_2186.txt,ocular pain,"( 52,63)",Signs and Symptoms
469,sentence_2,sentence_2.txt,dry mouth,"( 92,101)",Signs and Symptoms
100,sentence_1153,sentence_1153.txt,sialography,"( 34,45)",Diagnostic Tests
1495,sentence_2385,sentence_2385.txt,anti-La/SSB,"( 60,71)",Diagnostic Tests
726,sentence_635,sentence_635.txt,anti-SSA antibody,"( 59,76)",Diagnostic Tests
1100,sentence_2108,sentence_2108.txt,CCL21 and CXCL13,"( 73,89)",Diagnostic Tests
25,sentence_1023,sentence_1023.txt,purpura,"( 165,172)",Signs and Symptoms
1624,sentence_2461,sentence_2461.txt,lachrymal gland biopsies,"( 160,184)",Diagnostic Tests
287,sentence_163,sentence_163.txt,RA,"( 171,173)",Associated Conditions
1084,sentence_2098,sentence_2098.txt,Hypokalemic paralysis,"( 0,21)",Signs and Symptoms
241,sentence_1474,sentence_1474.txt,sicca,"( 126,131)",Signs and Symptoms
363,sentence_174,sentence_174.txt,sicca,"( 52,57)",Signs and Symptoms
266,sentence_1576,sentence_1576.txt,salivary ultrasonography,"( 99,123)",Diagnostic Tests
1641,sentence_2466,sentence_2466.txt,high ESR,"( 117,125)",Diagnostic Tests
710,sentence_61,sentence_61.txt,imaging salivary gland,"( 100,122)",Diagnostic Tests
1823,sentence_2668,sentence_2668.txt,Constrictive bronchiolitis,"( 13,39)",Associated Conditions
1019,sentence_2053,sentence_2053.txt,Plummer-Vinson syndrome,"( 21,44)",Associated Conditions
364,sentence_1740,sentence_1740.txt,arthritis,"( 74,83)",Associated Conditions
1053,sentence_2076,sentence_2076.txt,biopsy of the minor salivary glands,"( 114,149)",Diagnostic Tests
278,sentence_1603,sentence_1603.txt,pulmonary sarcoidosis,"( 57,78)",Associated Conditions
1547,sentence_2410,sentence_2410.txt,dry mouth.,"( 117,127)",Signs and Symptoms
1590,sentence_2445,sentence_2445.txt,scleroderma,"( 153,164)",Associated Conditions
831,sentence_764,sentence_764.txt,multiple sclerosis.,"( 268,287)",Associated Conditions
312,sentence_1666,sentence_1666.txt,biopsy,"( 91,97)",Diagnostic Tests
1150,sentence_2125,sentence_2125.txt,dry mouth,"( 231,240)",Signs and Symptoms
1103,sentence_2109,sentence_2109.txt,IgG,"( 82,85)",Diagnostic Tests
1571,sentence_2429,sentence_2429.txt,mean age was 48.3years ,"( 4,27)",Risk Factors
1718,sentence_2545,sentence_2545.txt,parotid,"( 33,40)",Diagnostic Tests
1316,sentence_2270,sentence_2270.txt,labial salivary gland biopsy,"( 47,75)",Diagnostic Tests
661,sentence_501,sentence_501.txt,sicca,"( 49,54)",Signs and Symptoms
1613,sentence_2448,sentence_2448.txt,dysphagia.,"( 126,136)",Signs and Symptoms
442,sentence_1942,sentence_1942.txt,antinuclear antibody test,"( 90,115)",Diagnostic Tests
1255,sentence_2212,sentence_2212.txt,positive parotid sialography results,"( 163,199)",Diagnostic Tests
1311,sentence_2263,sentence_2263.txt,Ro/SSA,"( 29,35)",Diagnostic Tests
1755,sentence_2576,sentence_2576.txt,cranial neuropathy,"( 55,73)",Signs and Symptoms
1151,sentence_2125,sentence_2125.txt,fatigue,"( 300,307)",Signs and Symptoms
367,sentence_175,sentence_175.txt,sicca syndrome,"( 56,70)",Signs and Symptoms
361,sentence_1732,sentence_1732.txt,lymphadenopathy,"( 101,116)",Signs and Symptoms
1458,sentence_2356,sentence_2356.txt,Schirmer's test,"( 77,92)",Diagnostic Tests
1728,sentence_2549,sentence_2549.txt,sialography,"( 90,101)",Diagnostic Tests
1704,sentence_2530,sentence_2530.txt,anti-La,"( 104,111)",Diagnostic Tests
1738,sentence_2552,sentence_2552.txt,sialography,"( 78,89)",Diagnostic Tests
1234,sentence_2197,sentence_2197.txt,rheumatoid factor,"( 62,79)",Diagnostic Tests
522,sentence_275,sentence_275.txt,elderly,"( 20,27)",Risk Factors
1194,sentence_2155,sentence_2155.txt,xerophthalmia,"( 86,99)",Signs and Symptoms
1120,sentence_2114,sentence_2114.txt,parotid scintigraphy,"( 82,102)",Diagnostic Tests
639,sentence_480,sentence_480.txt,storiform fibrosis.,"( 116,135)",Diagnostic Tests
1017,sentence_2053,sentence_2053.txt,anaemia,"( 106,113)",Signs and Symptoms
911,sentence_959,sentence_959.txt,Thrombotic thrombocytopenic purpura,"( 11,46)",Associated Conditions
199,sentence_141,sentence_141.txt,SLE,"( 101,104)",Associated Conditions
258,sentence_1538,sentence_1538.txt,lymphopenia.,"( 325,337)",Associated Conditions
1524,sentence_2404,sentence_2404.txt,neuromyelitis,"( 84,97)",Signs and Symptoms
1341,sentence_2292,sentence_2292.txt,female,"( 18,24)",Risk Factors
1627,sentence_2463,sentence_2463.txt,5-13 years old;,"( 34,49)",Risk Factors
87,sentence_111,sentence_111.txt,dry mouth,"( 150,159)",Signs and Symptoms
1418,sentence_2330,sentence_2330.txt,dry mouth and eyes,"( 96,114)",Signs and Symptoms
1225,sentence_2196,sentence_2196.txt,xerostomia,"( 87,97)",Signs and Symptoms
1091,sentence_2101,sentence_2101.txt,EULAR Sjgren's Syndrome Disease Activity Index: ESSDAI,"( 225,279)",Diagnostic Tests
1115,sentence_2112,sentence_2112.txt,lymphadenopathy,"( 180,195)",Signs and Symptoms
679,sentence_531,sentence_531.txt,ILD.,"( 112,116)",Associated Conditions
829,sentence_764,sentence_764.txt,thyroid disease,"( 236,251)",Associated Conditions
298,sentence_1640,sentence_1640.txt,fatigue,"( 29,36)",Signs and Symptoms
1433,sentence_2346,sentence_2346.txt,weight loss.,"( 71,83)",Signs and Symptoms
729,sentence_646,sentence_646.txt,salivary scintigraphy,"( 24,45)",Diagnostic Tests
1171,sentence_2131,sentence_2131.txt,EULAR Sjgren's Syndrome Patients Reported Index (ESSPRI),"( 162,218)",Diagnostic Tests
1607,sentence_2446,sentence_2446.txt,sarcoidosis,"( 132,143)",Associated Conditions
603,sentence_39,sentence_39.txt,dry eyes,"( 18,26)",Signs and Symptoms
1748,sentence_2573,sentence_2573.txt,xerostomia.,"( 195,206)",Signs and Symptoms
81,sentence_11,sentence_11.txt,vasculitis,"( 310,320)",Associated Conditions
709,sentence_608,sentence_608.txt,Rheumatoid arthritis,"( 156,176)",Associated Conditions
1589,sentence_2445,sentence_2445.txt,rheumatoid arthritis,"( 131,151)",Associated Conditions
379,sentence_1789,sentence_1789.txt,Rose-Bengal staining,"( 42,62)",Diagnostic Tests
324,sentence_1681,sentence_1681.txt,fatigue,"( 189,196)",Signs and Symptoms
1599,sentence_2446,sentence_2446.txt,parotitis,"( 166,175)",Signs and Symptoms
538,sentence_293,sentence_293.txt,dry eyes,"( 47,55)",Signs and Symptoms
732,sentence_65,sentence_65.txt,xerostomia,"( 123,133)",Signs and Symptoms
295,sentence_1638,sentence_1638.txt,sialometry,"( 111,121)",Diagnostic Tests
833,sentence_766,sentence_766.txt,SS-B/La.,"( 176,184)",Diagnostic Tests
1215,sentence_2186,sentence_2186.txt,decreased vision,"( 77,93)",Signs and Symptoms
558,sentence_334,sentence_334.txt,dry eye.,"( 144,152)",Signs and Symptoms
1837,sentence_2687,sentence_2687.txt,B cell lymphoma,"( 29,44)",Associated Conditions
780,sentence_681,sentence_681.txt,lip biopsy,"( 178,188)",Diagnostic Tests
1753,sentence_2576,sentence_2576.txt,mononeuropathy,"( 88,102)",Signs and Symptoms
1442,sentence_2349,sentence_2349.txt,nephritis,"( 116,125)",Associated Conditions
189,sentence_139,sentence_139.txt,SLE,"( 40,43)",Associated Conditions
248,sentence_1498,sentence_1498.txt,women,"( 59,64)",Risk Factors
1795,sentence_2607,sentence_2607.txt,weakness,"( 55,63)",Risk Factors
337,sentence_1705,sentence_1705.txt,lymphoma,"( 53,61)",Signs and Symptoms
192,sentence_1391,sentence_1391.txt,fatigue,"( 94,101)",Signs and Symptoms
411,sentence_1862,sentence_1862.txt,polymyositisdermatomyositis.,"( 386,414)",Associated Conditions
1808,sentence_2643,sentence_2643.txt,fatigue,"( 300,307)",Signs and Symptoms
54,sentence_107,sentence_107.txt,systemic sclerosis,"( 109,127)",Associated Conditions
812,sentence_740,sentence_740.txt,salivary gland biopsy,"( 47,68)",Diagnostic Tests
1566,sentence_2421,sentence_2421.txt,positive minor salivary gland biopsy,"( 58,94)",Diagnostic Tests
402,sentence_1844,sentence_1844.txt,dry eyes.,"( 81,90)",Signs and Symptoms
660,sentence_500,sentence_500.txt,salivary gland biopsies.,"( 247,271)",Diagnostic Tests
1329,sentence_2280,sentence_2280.txt,lymphoma,"( 217,225)",Associated Conditions
1028,sentence_2058,sentence_2058.txt,RA,"( 50,52)",Associated Conditions
50,sentence_1059,sentence_1059.txt,anti-SS-A/SS-B antibodies,"( 86,111)",Diagnostic Tests
1057,sentence_2077,sentence_2077.txt,anasarca,"( 77,85)",Signs and Symptoms
1707,sentence_2532,sentence_2532.txt,La and Ro.,"( 110,120)",Diagnostic Tests
1285,sentence_2242,sentence_2242.txt,fever,"( 25,30)",Signs and Symptoms
570,sentence_354,sentence_354.txt,erythrocyte sedimentation rate (ESR).,"( 313,350)",Diagnostic Tests
349,sentence_1719,sentence_1719.txt,lymphomas.,"( 84,94)",Associated Conditions
896,sentence_913,sentence_913.txt,salivary gland biopsy,"( 6,27)",Diagnostic Tests
891,sentence_906,sentence_906.txt,dryness,"( 48,55)",Signs and Symptoms
794,sentence_69,sentence_69.txt,xerostomia,"( 100,110)",Signs and Symptoms
688,sentence_553,sentence_553.txt,rheumatoid factor,"( 61,78)",Associated Conditions
1186,sentence_2141,sentence_2141.txt,lip biopsy,"( 221,231)",Diagnostic Tests
1579,sentence_2436,sentence_2436.txt,dry mouth.,"( 102,112)",Signs and Symptoms
1200,sentence_2158,sentence_2158.txt,SLE,"( 36,39)",Associated Conditions
922,sentence_2003,sentence_2003.txt,recurrent salivary gland swelling,"( 42,75)",Signs and Symptoms
876,sentence_878,sentence_878.txt,Sicca,"( 13,18)",Signs and Symptoms
750,sentence_664,sentence_664.txt,Rheumatoid arthritis,"( 12,32)",Associated Conditions
1553,sentence_2410,sentence_2410.txt,dry mouth.,"( 117,127)",Signs and Symptoms
1227,sentence_2196,sentence_2196.txt,fever.,"( 118,124)",Signs and Symptoms
1649,sentence_2467,sentence_2467.txt,sialectasis,"( 114,125)",Signs and Symptoms
1056,sentence_2077,sentence_2077.txt,elevated C-reactive protein levels,"( 41,75)",Signs and Symptoms
261,sentence_1542,sentence_1542.txt,systemic lupus erythematosus,"( 85,113)",Associated Conditions
413,sentence_1862,sentence_1862.txt,scleroderma or,"( 371,385)",Associated Conditions
447,sentence_1947,sentence_1947.txt,dry eye,"( 58,65)",Signs and Symptoms
1686,sentence_2508,sentence_2508.txt,Schirmer test,"( 94,107)",Diagnostic Tests
176,sentence_1358,sentence_1358.txt,salivary gland biopsy,"( 6,27)",Diagnostic Tests
552,sentence_312,sentence_312.txt,obliterative phlebitis.,"( 199,222)",Associated Conditions
953,sentence_2013,sentence_2013.txt,DWI.,"( 110,114)",Diagnostic Tests
38,sentence_1039,sentence_1039.txt,synovitis,"( 134,143)",Associated Conditions
813,sentence_740,sentence_740.txt,sialography,"( 30,41)",Diagnostic Tests
945,sentence_2009,sentence_2009.txt,RS,"( 114,116)",Signs and Symptoms
1399,sentence_2320,sentence_2320.txt,mechanic hands.,"( 73,88)",Signs and Symptoms
1646,sentence_2466,sentence_2466.txt,transient Raynaud's,"( 93,112)",Associated Conditions
963,sentence_2022,sentence_2022.txt,bronchiectasis,"( 67,81)",Associated Conditions
578,sentence_365,sentence_365.txt,dry eye,"( 39,46)",Signs and Symptoms
129,sentence_1233,sentence_1233.txt,xerophthalmia,"( 61,74)",Signs and Symptoms
1713,sentence_2539,sentence_2539.txt,La-positive,"( 83,94)",Diagnostic Tests
